,giga_id_school,latitude,longitude,bin_internet_availability,norm_rwi
0,330be1f2-316e-32b8-8602-c556dedc70a3,-20.2066273,25.2350806,1,0.34027346177750156
1,e923393a-1ee5-3b21-b85b-7fc59d36c671,-24.9947434,25.3152243,1,0.8017402113113735
2,64218c54-b80e-3910-b5ee-aa9b92815d0b,-24.9859972,25.6978741,1,0.36016159105034184
3,185bafe0-8d87-3a75-b70e-ae9bb5935d15,-24.622995,25.8626712,0,0.9223119950279677
4,0202c1c2-9a57-3360-b30e-352d9ba76fa3,-25.7576782,25.2168433,0,0.19297700435052828
5,0c3ac86e-2dbb-33d6-b0db-3e1600e8fd91,-20.1328199,27.2186993,0,0.30236171535114975
6,dc63e0fd-7194-3609-ae2f-5522b6f408ed,-24.6748963,25.4556447,1,0.3337476693598508
7,76098c42-2150-3461-a915-78365ecdc298,-20.2066273,25.2350806,0,0.34027346177750156
8,8e1157cc-26ef-3ea4-89bd-e4d419ed8cea,-24.9947434,25.3152243,1,0.8017402113113735
9,3b7fb29a-6e1f-3e73-8d19-447868c505aa,-24.6538453,25.9136956,1,0.795835922933499
10,4996e57e-73ad-3293-89bd-71e154c6cff7,-24.6538453,25.9136956,0,0.795835922933499
11,e40d4fde-c8b9-3127-baca-7183487adb74,-20.2066273,25.2350806,0,0.34027346177750156
12,ae8cfb5e-5843-38d2-a4f4-f907b341dec4,-25.7576782,25.2168433,0,0.19297700435052828
13,04be441d-bafc-3772-b525-0491e88cb0db,-24.9859972,25.6978741,0,0.36016159105034184
14,7c888d2e-4bbe-3c36-a241-903b983151f3,-20.1328199,27.2186993,0,0.30236171535114975
15,1e53827b-e461-3aa3-9c7f-d317577c8b12,-24.6447436,25.847013,0,0.7778123057799876
16,a749b574-f849-3b95-8ebb-9cefe5be0fbb,-24.6543768,25.560257,0,0.7513983840894967
17,deb33736-7170-336a-9e60-54a6a7849fc7,-24.6748963,25.4556447,0,0.3337476693598508
18,7dd4b992-cc24-371b-811e-54a2607d8761,-24.6447436,25.847013,0,0.7778123057799876
19,1856e0cb-66c9-3af9-a74e-9a53a5e64213,-24.622995,25.8626712,0,0.9223119950279677
20,aa5c2c26-383c-3f25-b027-65e12aeff067,-24.5547355,25.373073,0,0.3934120571783717
21,f16fe10e-3831-3e7f-848a-6e34bd7d8c3e,-24.4147381,25.364799,0,0.43039154754505904
22,61d13d89-3483-3257-b367-64bc4f710900,-24.6770331,25.9544492,0,1.0
23,e59b5c6c-14d6-3d88-a636-363776025536,-21.9732006,28.4178865,1,0.5130515848353014
24,b5639dbc-2917-3b84-b8e9-aead8d0d6200,-26.6624954,21.9287096,1,0.4738968303293971
