,giga_id_school,latitude,longitude,bin_internet_availability,norm_schools_near_conn
67,467a75fd-081f-497f-b9b0-235f37703fd6,-2.38875,29.82669,0,0.7
68,3f8a1e5c-bfaf-4304-9e24-dd176834c84d,-2.25747,29.69072,0,0.6428571428571429
69,5f196471-b063-47e1-bd08-b9996370f5f2,-1.60433,29.86117,0,0.625
70,18ada197-dd45-4e5d-86a0-d8e9a5139ab3,-1.6035,29.60625,0,0.4444444444444444
71,ef6771b2-ea6b-4a12-b58e-42131b6ced2f,-1.58458,30.10442,0,0.8
72,6d34b5d2-b240-465a-85f6-f1ba3c1dccb0,-2.71369,29.53931,0,0.7142857142857143
73,b2368682-6c2d-471d-a759-04e7c4460be3,-1.65222,29.95417,0,0.5
74,06f65b59-fcf5-49df-b278-6130f67b311a,-1.64997,29.54019,0,0.3333333333333333
75,96c14cd5-0076-4082-af32-e163696b2762,-2.12494,29.83972,0,0.42857142857142855
76,4d0d9d04-54b3-4dc6-9898-f512a5541c1a,-2.14389,29.57453,0,0.3333333333333333
77,c02a6d59-e356-4348-b73b-95da1fc836dc,-2.04961,29.39758,0,0.5555555555555556
78,4aa42530-4e67-48b7-a840-1f99c456c05f,-2.24714,30.06964,0,0.5
79,9bac841f-303e-4458-b9f5-5effffb67c00,-2.09372,29.57283,0,0.5
80,c62903a2-ace4-42bb-baa0-d7e892371127,-1.46344,29.83867,0,0.2
81,3abfa6a0-68d5-4843-9d7d-5b457703f73d,-2.42639,29.92306,0,0.6666666666666666
82,f258eae4-b488-47ed-b1a4-5f359ae83899,-1.97592,29.41856,0,0.16666666666666666
83,13caffbf-2abe-4a9b-aa3c-a9010dd83096,-1.94861,30.10556,0,0.6428571428571429
84,8f23bf7b-64a6-4aea-b314-c43ee8b06b92,-2.41675,29.06681,0,0.8333333333333334
85,31d8631c-8e8b-4b66-a668-84ddaa9345b3,-1.46542,29.80956,0,0.16666666666666666
86,73d8d88e-3425-4df2-9b87-cffcded1427c,-2.159,29.40411,0,0.25
87,71c0ef0e-9554-4cc1-b781-03ada10e0f48,-1.97367,29.34669,0,0.4
88,95dd9f9b-bbce-4f38-83f3-e49b88cc734d,-2.15939,29.54797,0,0.3333333333333333
89,e3d2673d-329b-40c1-bf2d-825764df130f,-2.05744,29.42708,0,0.5555555555555556
90,5b0592dd-e922-49aa-9167-6272c3592bbc,-1.99619,30.11775,0,0.4166666666666667
91,9531a4af-6188-4779-b2f8-9606620f1605,-2.24797,29.55306,0,0.4
92,864415e3-147d-4032-9efd-512efab640c8,-2.00147,30.09342,0,0.3684210526315789
93,165248ce-7527-4c82-8e0e-29e6d714087b,-1.93997,30.25631,0,0.625
94,a615f9dd-95d1-43b3-bd7a-6e41142c3e61,-2.07353,29.38553,0,0.4166666666666667
95,ade02872-f4d6-4b9c-a9c6-a00c29f29a76,-1.57244,29.94133,0,0.3333333333333333
96,bb9f4ec3-9151-450c-a667-b94d3e801962,-2.51264,29.90617,0,0.5
97,bb03f5d4-ad67-4abf-96a9-0b66eaa68aef,-2.14258,29.4895,0,0.375
98,9eca43bc-e67a-4ce8-8eea-1bde1f5719ba,-1.62772,29.63278,0,0.45454545454545453
99,3e7feede-9234-47cb-a8fe-60e1ac17ef03,-1.84697,29.6875,0,0.6153846153846154
100,dc72766d-251a-4901-aad5-0a8a74394dde,-2.19431,29.52842,0,0.375
101,cedfa816-1d36-49b7-af90-75342700696d,-1.75331,29.70853,0,0.5
102,f290021d-858f-48cc-94b1-fd93f976989b,-1.96075,30.55314,0,0.25
103,38889d14-99e0-4372-b23c-99d49e9b9738,-2.18444,30.02511,0,0.75
104,0da116e4-3b3d-48a6-8f7e-f1af73e60a44,-2.07264,29.43117,0,0.4166666666666667
105,64c2fddb-f513-4992-a795-1a49ed9a8b10,-2.52394,28.92239,0,0.5
106,85229b34-fc9a-49c9-a814-77680eadc56c,-1.38436,29.77844,0,0.25
107,9ff7841b-10d6-4525-abf9-555c8e9af038,-1.93939,29.44003,0,0.0
108,cdffcd4a-197d-43f1-8e2b-6c5a698c7f06,-2.66144,29.87442,0,0.3333333333333333
109,52f6f616-7fe9-4511-a245-cb5ba7d97b34,-1.93658,29.63167,0,0.375
110,f2cc9407-4aa8-498d-a658-b7bcdcb047b4,-1.92681,30.59181,0,0.5
111,d9851893-1b5e-4bde-ab16-87b74409ebdb,-1.99108,29.60239,0,0.3333333333333333
112,8a0d5cbf-ed76-49c7-b874-c960103bec65,-1.71097,30.36919,0,0.5
113,5be66c14-0b48-4ba4-a885-c49818c4dc76,-1.68258,29.79269,0,0.3333333333333333
114,72b7b9c3-736d-4587-a50b-0f956610625b,-2.25453,29.83311,0,0.5
115,340053c7-d16b-4ab8-95c8-e1126887b9f5,-1.50222,30.40417,0,0.3333333333333333
116,570d0d7c-15b0-449e-a7cc-f072a9a2c6be,-2.13072,29.65639,0,0.6666666666666666
117,0d1b1721-d0e1-4d66-a753-031cff2dfb5f,-1.40706,29.73625,0,0.2222222222222222
118,d45c21e1-80af-4edd-8db0-b5baca76720b,-1.76003,29.9945,0,0.3333333333333333
119,2ef7ede8-dea8-4f7f-987a-a7f42c863930,-1.45806,29.62778,0,0.875
163,ec9ef2ee-94dd-4720-a389-af2fa015c8fb,-1.95067,29.96389,0,0.8181818181818182
244,9aec6fb6-c03e-458c-ae6e-772de5baec86,-1.51553,29.942,0,0.0
245,e996f37c-e251-4a1b-90bd-e6f0910d58fa,-1.37194,29.85028,0,0.0
246,b9fee804-fb80-415f-ab1b-3b4d1414b368,-2.07239,29.94897,0,0.5714285714285714
247,e5fc6234-be9f-4356-a556-04f32d7f18b2,-2.09683,29.91253,0,0.0
356,cfa749c6-a098-4d1b-8745-fd4a17e239c9,-1.95972,30.13978,0,0.38095238095238093
357,21d10827-3a8b-43e2-9351-4444be98f163,-2.05522,29.679,0,0.75
358,05d6a2bb-4ff1-4ce7-9bb0-77de6591a427,-1.64347,29.46281,0,0.125
359,13f15d5b-c83e-463b-9774-9379f2340502,-1.51586,29.80711,0,0.0
360,b938e0b7-d4fb-4aeb-8bc0-30fe3256da99,-1.71864,29.26864,0,0.3076923076923077
361,f591ddd4-81e4-4878-9fd8-1a58c885de87,-1.87686,29.61722,0,0.625
362,c6e47d0f-5eff-4909-aa61-b88b48538e98,-1.46736,29.87769,0,0.0
363,16fd3a11-37ad-469f-a96c-e03688973be5,-2.51861,29.49594,0,0.5
364,4d5073a4-449a-46b1-8d35-5481c9972483,-1.37194,29.85028,0,0.0
365,052f28bf-a929-401c-9be4-7ef5d7404d6e,-1.51586,29.80711,0,0.0
366,15c5c1ed-28ad-4d9b-ab97-f33763ac0055,-2.1896,29.62772,0,0.6
367,2476eff1-054b-4645-87c8-0f62e2ddb692,-2.09128,29.97689,0,0.75
368,cc2c8fd6-cdbb-49a0-a57d-6b71bc327f96,-1.99564,29.88897,0,0.7
369,18acfd91-9704-4f6b-aa82-3bbd5aa3f15e,-1.96086,29.85747,0,0.8
370,d8682461-c6d7-4775-ac5c-0351aaf325f3,-1.90056,29.49886,0,0.2
371,398d5e1c-c8be-4152-827f-562caf4c581d,-2.06347,29.61839,0,0.5
372,89cdd96b-6698-448f-8449-1139ef9086ff,-2.07578,29.61817,0,0.5555555555555556
373,5b06c504-cafc-4cb8-a490-d0aeb854430a,-1.87647,29.68072,0,0.6666666666666666
374,79d84a90-ac1d-4063-815e-caee9512ecca,-2.09139,29.45731,0,0.45454545454545453
375,94b7fea1-675d-48d1-964a-b46b844e5847,-1.84228,29.70761,0,0.6666666666666666
376,0e956852-34f9-4246-b7a9-83306d0ef338,-1.75967,29.74211,0,0.3333333333333333
377,16f01821-d7e6-4eda-92a4-3eef9cc8910d,-2.30489,29.43189,0,0.16666666666666666
378,a32c4f04-fab7-47bb-899e-7e37c986d1c3,-2.33514,29.44386,0,0.5714285714285714
379,22520b99-63cf-400c-bd66-a42428af517d,-1.6025,29.52231,0,0.5555555555555556
380,01f71e9b-5e30-49f1-9da1-d0e5228256b8,-2.39719,29.80144,0,0.5
381,5a231140-0658-438a-a0ba-f0230bc0e259,-2.52464,29.54314,0,0.4
382,1bc13b22-b761-4a61-a048-a13a0d888f07,-2.23625,29.317,0,0.5
383,fdaa4240-0762-4851-94ce-58144fe473ed,-1.67081,29.55547,0,0.375
384,e6ce7b67-d2c1-4dfd-a638-594fb92a2998,-2.67936,29.78678,0,0.3333333333333333
385,69bacc3d-553d-4b5c-b7ca-5bbf49be73fd,-1.66625,29.93511,0,0.3333333333333333
386,43a0c008-d327-40d1-8d1d-afc63e793d64,-2.39989,29.40111,0,0.25
387,a077851e-6d59-4d8c-bfe6-e2d8ab9e846c,-2.30808,29.58094,0,0.4
388,b454b59e-058b-425f-a924-0033cecb0a2b,-1.85106,29.55222,0,0.4444444444444444
389,7515e65f-dd53-41b0-b237-8ad341fc14a5,-2.15475,29.53219,0,0.2857142857142857
390,564065c9-ae21-4f63-b271-255b7df8eb14,-2.14156,29.4845,0,0.3333333333333333
391,cdd1f874-ebda-4154-9b28-fb8e3f8db3e5,-2.17908,29.58536,0,0.3333333333333333
392,28b57a25-5451-48cd-bb3e-ec711b029043,-1.75022,29.32997,0,0.2222222222222222
393,0c7c38e7-5455-4e6d-9138-ffe0f98b6bbc,-2.09608,29.37619,0,0.5
394,ca1e8c42-4439-40ee-b79d-0e30f87fd732,-2.25203,29.67719,0,0.5833333333333334
395,d7549644-ec1a-4f2c-ad03-fcfc3ba991a4,-2.17225,29.57031,0,0.3076923076923077
396,6994026f-b082-4620-a26d-3e53159f3cfe,-1.68708,29.62622,0,0.46153846153846156
