,giga_id_school,latitude,longitude,bin_internet_availability,bin_electricity_availability,norm_fiber_node_distance,norm_nearest_LTE_distance,norm_nearest_UMTS_distance,norm_nearest_GSM_distance,norm_nearest_mobile,norm_DTR_score
67,467a75fd-081f-497f-b9b0-235f37703fd6,-2.38875,29.82669,0,0,0.3510714285714286,0.43931921477613384,0.30701445188579485,0.2608860280196895,0.2608860280196895,0.001
68,3f8a1e5c-bfaf-4304-9e24-dd176834c84d,-2.25747,29.69072,0,1,0.3617857142857143,0.38303839087128905,0.03313359182234755,0.30708065126845896,0.035592578568723963,4.7e-05
69,5f196471-b063-47e1-bd08-b9996370f5f2,-1.60433,29.86117,0,1,0.2567857142857143,0.26999323082874,0.2728234050052873,0.02953426732298372,0.02953426732298372,0.000463
70,18ada197-dd45-4e5d-86a0-d8e9a5139ab3,-1.6035,29.60625,0,1,0.41035714285714286,0.11343196982883667,0.26753612971448715,0.2525558500567967,0.2525558500567967,0.0133
71,ef6771b2-ea6b-4a12-b58e-42131b6ced2f,-1.58458,30.10442,0,1,0.15892857142857145,0.3633110917706218,0.12301727176594994,0.09503975766755016,0.09503975766755016,0.000628
72,6d34b5d2-b240-465a-85f6-f1ba3c1dccb0,-2.71369,29.53931,0,0,0.21928571428571428,0.7179189633497727,0.2671836446951005,0.14350624763347217,0.14350624763347217,9.1e-05
73,b2368682-6c2d-471d-a759-04e7c4460be3,-1.65222,29.95417,0,0,0.2732142857142857,0.31979499081326757,0.1254846669016567,0.13934115865202576,0.13479742521772056,3.6e-05
74,06f65b59-fcf5-49df-b278-6130f67b311a,-1.64997,29.54019,0,1,0.27285714285714285,0.18779615124262647,0.16778286922805782,0.12646724725482772,0.12646724725482772,0.002
75,96c14cd5-0076-4082-af32-e163696b2762,-2.12494,29.83972,0,1,0.37214285714285716,0.17232375979112272,0.2696510398308072,0.30102234002271866,0.2896630064369557,9.1e-05
76,4d0d9d04-54b3-4dc6-9898-f512a5541c1a,-2.14389,29.57453,0,1,0.7675000000000001,0.2516197659800793,0.6129714487134297,0.1666035592578569,0.1666035592578569,0.0033
77,c02a6d59-e356-4348-b73b-95da1fc836dc,-2.04961,29.39758,0,1,0.195,0.0502852722173871,0.047937962636587936,0.06588413479742522,0.05149564558879212,0.0077
78,4aa42530-4e67-48b7-a840-1f99c456c05f,-2.24714,30.06964,0,1,0.2575,0.27985688037907364,0.32922100810715543,0.169632714880727,0.169632714880727,5.2e-05
79,9bac841f-303e-4458-b9f5-5effffb67c00,-2.09372,29.57283,0,1,0.6939285714285715,0.23750120878058217,0.5823052520267888,0.13934115865202576,0.13934115865202576,0.0014
80,c62903a2-ace4-42bb-baa0-d7e892371127,-1.46344,29.83867,0,1,0.19857142857142857,0.22531670051252298,0.20867113147691224,0.1321469140477092,0.1321469140477092,7.3e-05
81,3abfa6a0-68d5-4843-9d7d-5b457703f73d,-2.42639,29.92306,0,0,0.7614285714285715,0.4656222802436902,0.6609094113500176,0.6111321469140477,0.6111321469140477,0.0096
82,f258eae4-b488-47ed-b1a4-5f359ae83899,-1.97592,29.41856,0,1,0.3696428571428572,0.11546272120684654,0.22453295734931264,0.07118515713744793,0.07118515713744793,0.0017
83,13caffbf-2abe-4a9b-aa3c-a9010dd83096,-1.94861,30.10556,0,0,0.1667857142857143,0.0022241562711536604,0.007049700387733521,0.001893222264293828,0.001893222264293828,0.000201
84,8f23bf7b-64a6-4aea-b314-c43ee8b06b92,-2.41675,29.06681,0,0,0.13499999999999998,0.195822454308094,0.16743038420867112,0.1113214691404771,0.1113214691404771,0.000595
85,31d8631c-8e8b-4b66-a668-84ddaa9345b3,-1.46542,29.80956,0,1,0.13285714285714284,0.19408181026979984,0.11455763130066972,0.1575160923892465,0.12305944717909882,0.0017
86,73d8d88e-3425-4df2-9b87-cffcded1427c,-2.159,29.40411,0,1,0.4425,0.11111111111111112,0.3736341205498766,0.22112836046951914,0.22112836046951914,0.000259
87,71c0ef0e-9554-4cc1-b781-03ada10e0f48,-1.97367,29.34669,0,1,0.30964285714285716,0.08819263127357123,0.2668311596757138,0.11851571374479364,0.11851571374479364,8.4e-05
88,95dd9f9b-bbce-4f38-83f3-e49b88cc734d,-2.15939,29.54797,0,1,0.8792857142857143,0.23150565709312448,0.6602044413112442,0.043922756531616806,0.043922756531616806,0.000224
89,e3d2673d-329b-40c1-bf2d-825764df130f,-2.05744,29.42708,0,0,0.3082142857142857,0.07939270863552848,0.04758547761720127,0.011359333585762969,0.011359333585762969,0.000211
90,5b0592dd-e922-49aa-9167-6272c3592bbc,-1.99619,30.11775,0,1,0.28178571428571425,0.024659123875834056,0.005992245329573494,0.004922377887163953,0.004922377887163953,0.000246
91,9531a4af-6188-4779-b2f8-9606620f1605,-2.24797,29.55306,0,1,0.8575,0.28846339812397254,0.5410645047585477,0.26694433926542976,0.26694433926542976,6.3e-05
92,864415e3-147d-4032-9efd-512efab640c8,-2.00147,30.09342,0,0,0.23357142857142857,0.026979982593559618,0.004229820232640113,0.006436955698599016,0.004543733434305188,0.000168
93,165248ce-7527-4c82-8e0e-29e6d714087b,-1.93997,30.25631,0,0,0.66,0.09999032975534283,0.03489601691928093,0.06171904581597879,0.03748580083301779,0.0016
94,a615f9dd-95d1-43b3-bd7a-6e41142c3e61,-2.07353,29.38553,0,1,0.15178571428571427,0.03510298810559907,0.1311244272118435,0.05490344566452101,0.05490344566452101,0.000529
