,giga_id_school,latitude,longitude,bin_internet_availability,norm_number_of_students,norm_Schools_within_3km,norm_pop_within_3km
0,cdf4f80c-e3cc-4ebc-8931-8fe76018cc61,-2.15939,29.54797,1,0.002148091988880465,0.09411764705882353,0.041845205266358376
1,a58be9dc-59c4-4cf9-96f5-e5b8fa84ba82,-1.73064,30.21272,1,0.006444275966641395,0.07058823529411765,0.033869302674190034
2,9fe38ae7-7d51-4646-841b-1b6daa31c987,-2.29503,29.64556,1,0.006696992671215567,0.047058823529411764,0.033116258679450734
3,8b5c3930-c3ea-44d8-a510-086f8c6889aa,-2.37183,30.59917,1,0.008718726307808946,0.011764705882352941,0.029531345014353796
4,2288686a-e13e-423a-b0bb-b7d08452e9a8,-1.92681,30.59181,1,0.010993176648976498,0.011764705882352941,0.03832746453975931
5,f74950df-3e95-47d3-8024-d21953768cac,-2.4235,29.82778,1,0.010993176648976498,0.03529411764705882,0.049955453735522466
6,dee212e0-445a-4981-a8a7-3327105e9aa9,-2.159,29.40411,1,0.011498610058124843,0.03529411764705882,0.03499710095739114
7,ae5a9dc6-6feb-446f-9f16-ec1dcf3988d3,-2.07858,30.64322,1,0.01819560272934041,0.023529411764705882,0.0320556333347475
8,3e6b3ca7-af2c-4768-8280-0db56cff7209,-1.71097,30.36919,1,0.02868334596916856,0.011764705882352941,0.05660557464681176
9,f016ffce-04f2-45f4-a7f1-ff62ebd87266,-2.19431,29.52842,1,0.03702299722011625,0.08235294117647059,0.0330596919943999
10,404ed8e0-0ed1-48a6-b681-cda49473ce50,-1.7365,30.33806,1,0.03727571392469042,0.03529411764705882,0.055180801267093744
11,cd9ae702-c00f-4f5c-ab9a-f9753d3be8eb,-2.11264,30.37303,1,0.04056103108415466,0.023529411764705882,0.04318866403631581
12,f28c0e71-4b57-4758-b808-166d6b0a0d8d,-2.66144,29.87442,1,0.043467273186757645,0.058823529411764705,0.053706532037956244
13,cd053f0f-55be-4bed-bf46-6b2c141c5c05,-1.45806,29.62778,1,0.04599444023249937,0.07058823529411765,0.09043598772502934
