,giga_id_school,latitude,longitude,bin_internet_availability,norm_Schools_within_3km,norm_pop_within_3km
0,b1d64003-2032-3df7-9025-b30a2240d41a,47.793282,101.973651,1,0.0,0.002155022189177258
1,223c0187-50a2-3632-a33d-34e4a9d6cbec,47.317677,101.114628,1,0.0,0.00019168660981900136
2,971ff73a-eb00-3bff-9891-a796edeed379,48.72439,100.767651,1,0.009708737864077669,0.000656381421501429
3,d2bd9977-ea0e-3f5d-8100-ba04dfcd1f17,48.724918,100.768035,1,0.009708737864077669,0.0006447640512093683
4,43e4bd41-f5ac-3a9f-b8f2-78c92bae1014,47.594792,101.205852,1,0.0,0.0008538767164664606
5,26e57261-8cbd-3cb1-a77c-06572200b268,48.158773,99.880471,1,0.009708737864077669,0.001887822672459862
6,6576d481-3508-37f5-94c8-bf8313970565,48.157959,99.881565,1,0.009708737864077669,0.001887822672459862
7,4917143a-b522-375a-92fd-17bc4929a530,47.382477,101.905061,1,0.0,0.001028137270847371
8,ad7d0df1-de53-3b33-a6aa-70d6ffaa6fca,48.608503,101.941417,1,0.0,0.0033458026441134784
9,1d87d790-c7d9-3979-9e78-f67f692ee25f,47.854779,99.427651,1,0.0,0.0004646948116824276
10,16d65535-519f-32cc-888f-5cdef1a6c26e,47.450917,103.147243,1,0.0,0.0011326936034759172
11,1ced59d2-df09-39b0-b043-c1244ceb4550,47.362457,102.468415,1,0.009708737864077669,0.002747508074072353
12,1d2f43bf-380c-3d7e-8bcb-11e2bbcc5a57,47.362585,102.468339,1,0.009708737864077669,0.002747508074072353
13,4d632a51-b6e4-38af-bc15-2a314ff73cd4,48.10348,99.132131,1,0.0,0.0004646948116824276
14,accfa140-cef1-335f-84e0-75f7774c8eff,47.443402,101.749621,1,0.0,0.0008654940867585213
15,70578acd-8663-3fe4-afe4-cfb395b75d56,48.880327,101.238191,1,0.0,0.001835544506145589
16,c828242f-721c-368d-8079-859ec83b6a59,47.537011,100.2297,1,0.009708737864077669,0.0011385022886219475
17,0fd718d7-e38a-3360-b4d2-7a42acf82468,47.537079,100.229733,1,0.009708737864077669,0.0011385022886219475
18,9992bde9-bd37-3de7-96bc-da491421fd20,47.47619,101.450156,1,0.05825242718446602,0.035752457073816774
19,56b8ce9c-f721-3dcf-84b0-567568845fd2,47.477163,101.44629,1,0.038834951456310676,0.03534004042844861
